"Var1" "Freq" "Porc"
"388" "School - PS 142 Amalia Castro" 9 8.98897951111937e-07
"389" "School - PS 153 Maspeth Elem" 9 8.98897951111937e-07
"390" "School - PS 157 Benjamin Franklin" 9 8.98897951111937e-07
"391" "School - PS 161 Pedro Albizu Campos" 9 8.98897951111937e-07
"392" "School - PS 178 Saint Clair McKelway" 9 8.98897951111937e-07
"393" "School - PS 200- The James McCune Smith School" 9 8.98897951111937e-07
"394" "School - PS 201 The Discovery School for Inquiry and Research" 9 8.98897951111937e-07
"395" "School - PS 205 Alexander Graham Bell" 9 8.98897951111937e-07
"396" "School - PS 209 Clearview Gardens" 9 8.98897951111937e-07
"397" "School - PS 211" 9 8.98897951111937e-07
"398" "School - PS 214 Cadwallader Colden" 9 8.98897951111937e-07
"399" "School - PS 229 Emanuel Kaplan" 9 8.98897951111937e-07
"400" "School - PS 23 The New Childrens School" 9 8.98897951111937e-07
"401" "School - PS 297 Abraham Stockton" 9 8.98897951111937e-07
"402" "School - PS 304 Early Childhood School" 9 8.98897951111937e-07
"403" "School - PS 33 Timothy Dwight" 9 8.98897951111937e-07
"404" "School - PS 335 Granville T Woods" 9 8.98897951111937e-07
"405" "School - PS 360" 9 8.98897951111937e-07
"406" "School - PS 41 Gun Hill Road" 9 8.98897951111937e-07
"407" "School - PS 49 Dorothy Bonawit Kole" 9 8.98897951111937e-07
"408" "School - PS 57 Hubert H Humphrey" 9 8.98897951111937e-07
"409" "School - PS 78 Anne Hutchinson" 9 8.98897951111937e-07
"410" "School - PS 94 Kings College School" 9 8.98897951111937e-07
"411" "School - PS MS 42 R Vernam" 9 8.98897951111937e-07
"412" "School - Queens High School of Teaching, Liberal Arts, and the Sciences" 9 8.98897951111937e-07
"413" "School - School for Environmental Citizenship" 9 8.98897951111937e-07
"414" "School - Science Skills Center High School for Science, Technology, and the Creative Arts" 9 8.98897951111937e-07
"415" "AJC" 8 7.99020400988388e-07
"416" "CAU" 8 7.99020400988388e-07
"417" "DCAS" 8 7.99020400988388e-07
"418" "Internal Affairs Bureau" 8 7.99020400988388e-07
"419" "NYCPPF" 8 7.99020400988388e-07
"420" "School - 47 The American Sign Language and English Secondary School" 8 7.99020400988388e-07
"421" "School - Academy for Environmental Leadership" 8 7.99020400988388e-07
"422" "School - Brooklyn School for Global Studies" 8 7.99020400988388e-07
"423" "School - Bushwick Community High School" 8 7.99020400988388e-07
"424" "School - Cobble Hill School of American Studies" 8 7.99020400988388e-07
"425" "School - East New York Family Academy" 8 7.99020400988388e-07
"426" "School - Enterprise, Business, and Technology High School" 8 7.99020400988388e-07
"427" "School - Evander Childs Evening High School" 8 7.99020400988388e-07
"428" "School - Family Life Academy Charter School" 8 7.99020400988388e-07
"429" "School - Francis Lewis High School" 8 7.99020400988388e-07
"430" "School - Frederick Douglass Academy VII High School" 8 7.99020400988388e-07
"431" "School - International Community High School" 8 7.99020400988388e-07
"432" "School - IS 136 Charles O Dewey" 8 7.99020400988388e-07
"433" "School - IS 206 Ann Mersereau" 8 7.99020400988388e-07
"434" "School - IS 296 The Anna Gonzalez Community School" 8 7.99020400988388e-07
"435" "School - IS 381" 8 7.99020400988388e-07
"436" "School - IS 72 Rocco Laurie" 8 7.99020400988388e-07
"437" "School - JHS 80 The Mosholu Parkway" 8 7.99020400988388e-07
"438" "School - John Adams High School" 8 7.99020400988388e-07
"439" "School - Legacy School" 8 7.99020400988388e-07
"440" "School - Magnet School of Math, Science and Design Technology" 8 7.99020400988388e-07
